country,province,culture_norm,language,major_event_date,major_event_desc,food_culture,important_cities,religious_practices,taboos
Indonesia,Jawa Barat,"In West Java, respect for local customs is important. Visitors should greet elders with proper titles such as ""Bapak"" (for men) or ""Ibu"" (for women). Dress modestly, particularly when attending cultural or religious events. Avoid loud behavior and respect local traditions, especially in rural areas.","Bahasa Sunda, Indonesian",4/21/2025,Eid al-Fitr,"Popular dishes include nasi timbel, batagor (fried dumplings), and surabi (traditional pancake).","Bandung, Sukabumi, Cirebon","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid speaking loudly in public, touching others' heads, or engaging in inappropriate behavior at traditional events."
Indonesia,Banten,"In Banten, the local culture is influenced by both Sundanese and Javanese traditions. Visitors should be respectful of elders, observe appropriate dress codes, and show consideration for local customs.","Bahasa Banten, Sundanese, Indonesian",6/6/2025,Eid al-Adha,"Traditional foods include soto Banten (spicy soup), nasi uduk (coconut rice), and tahu tempe.","Serang, Tangerang, Cilegon","On Eid al-Adha, religious practices involve the slaughtering of sacrificial animals such as cows and goats. The meat is shared with the poor, reflecting the value of charity and community. People gather for prayers at the mosque, and it is a time for reflection and thanksgiving.","Avoid loud public conversations, disrespecting elders, and eating or drinking in front of fasting Muslims during Ramadan."
Indonesia,Jawa Tengah,"In Central Java, it is important to respect Javanese traditions, including showing deference to elders and leaders. Visitors should wear modest clothing and participate in communal activities such as ""selametan"" (traditional ceremonies).","Bahasa Jawa, Indonesian",5/12/2025,Vesak,"Central Javanese cuisine includes gudeg (young jackfruit stew), ayam goreng (fried chicken), and serabi.","Semarang, Surakarta, Salatiga","During Waisak, Buddhists gather at temples to perform prayers, meditation, and candlelight processions, commemorating the birth, enlightenment, and passing of Buddha","Avoid disrespecting elders, stepping over offerings, and interrupting religious ceremonies."
Indonesia,DI Yogyakarta,"Yogyakarta is known for its strong cultural heritage, and visitors should show respect for the local customs. It is customary to greet elders formally and dress modestly, particularly when visiting religious or cultural sites. Respect for the Sultan's family and tradition is significant.","Bahasa Jawa, Indonesian",10/5/2025,Grebeg Maulud,"Yogyakarta is famous for its traditional foods such as gudeg, bakpia (sweet pastries), and ayam sambel goreng.","Yogyakarta, Magelang, Bantul","During Grebeg Maulud, Javanese communities celebrate the Prophet Muhammad's birthday with grand processions, prayers, and the distribution of traditional offerings known as gunungan for blessings.","Avoid pointing directly at people with feet, interrupting ceremonies, or touching sacred objects without permission."
Indonesia,Jawa Timur,"Visitors should respect Javanese traditions in East Java, where politeness, modesty, and respect for elders are crucial. Traditional ceremonies and celebrations often involve community cooperation, where visitors can participate in local customs with care and consideration.","Bahasa Jawa, Indonesian",4/21/2025,Eid al-Fitr,"East Javanese cuisine is known for dishes like rawon (black beef soup), pecel (vegetable salad with peanut sauce), and rujak cingur (vegetable salad with sauce).","Surabaya, Malang, Kediri","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid eating or drinking in public during Ramadan, speaking inappropriately to elders, or disrespecting sacred spaces."
Indonesia,Bali,"Bali is deeply influenced by Balinese Hinduism, and visitors should respect the local spiritual practices, including dress codes for entering temples (covering shoulders and knees) and participating in ceremonies. It is important to observe silence during religious rituals and show deference to elders.","Balinese, Indonesian, Javanese",6/9/2025,Nyepi,"Traditional Balinese cuisine includes bebek betutu (slow-cooked duck), lawar (mixed vegetable and meat dish), and sate lilit (minced meat satay).","Denpasar, Ubud, Gianyar","During Nyepi, Balinese Hindus observe a day of silence, meditation, and self-reflection, with no activities, travel, or noise allowed, marking the Balinese New Year in peaceful introspection.","Avoid touching religious offerings or idols, stepping on temple grounds without appropriate attire, and engaging in loud behavior during ceremonies."
Indonesia,Nusa Tenggara Barat,"Respecting the Sasak people's Islamic traditions in Lombok is key, especially by dressing conservatively, refraining from public displays of affection, and being mindful during prayer times.","Sasak, Bima, Indonesian",4/21/2025,Eid al-Fitr,"Traditional foods include ayam taliwang (spicy grilled chicken), sate rembiga (beef satay), and plecing kangkung (water spinach).","Mataram, Bima, Sumbawa","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid eating or drinking in public during fasting hours, interrupting ceremonies, and making inappropriate comments during cultural or religious events."
Indonesia,Nusa Tenggara Timur,"In East Nusa Tenggara, it is important to respect the customs of local tribes, including the Manggarai and Lio. Visitors should dress modestly and observe proper conduct during traditional ceremonies and religious events, particularly those of the Christian and indigenous beliefs.","Tetun, Lio, Indonesian",4/21/2025,Eid al-Fitr,"Typical dishes include ikan bakar (grilled fish), jagung bose (corn and vegetable stew), and tenun ikat (woven cloth).","Kupang, Maumere, Atambua","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid inappropriate conduct during ceremonies, not respecting sacred sites, and using the left hand in exchanges."
Indonesia,Kalimantan Barat,"In West Kalimantan, visitors should respect the Dayak tribes' cultural practices, especially in longhouse communities, by adhering to local etiquette, seeking permission before entering traditional spaces, and participating respectfully in cultural exchanges.","Dayak, Malay, Indonesian",1/29/2025,Chinese New Year,"Popular foods include mie sagu (sago noodles), ayam pedas (spicy chicken), and sambal (spicy chili paste).","Pontianak, Singkawang, Sambas","During Chinese New Year, the Chinese community celebrates by praying at temples, making offerings to ancestors, and holding ceremonies to invite prosperity for the new year.","Avoid pointing with feet, touching the heads of elders, and failing to follow local rituals during ceremonies."
Indonesia,Kalimantan Tengah,"When visiting Central Kalimantan, tourists should honor the Dayak Ngaju traditions, showing respect during ceremonies, avoiding intrusive photography, and dressing modestly, especially in sacred locations.","Bahasa Indonesia, Dayak, Banjar",4/21/2025,Eid al-Fitr,"Kalimantan Tengah's food is influenced by the Borneo culture, featuring dishes like ikan patin (catfish) and nasi kunir. Rice is a staple in most meals.","Palangka Raya, Sampit, Muara Teweh","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid using the left hand for giving or receiving items, interrupting elders, and touching someone's head."
Indonesia,Kalimantan Selatan,"In South Kalimantan, respect for the Banjar community’s Islamic customs is essential, especially in Martapura's religious settings. Tourists should dress conservatively and be respectful around mosques and markets.","Bahasa Indonesia, Banjar",4/21/2025,Eid al-Fitr,"Banjar food is known for its use of fish and spices, with specialties like soto Banjar and nasi kunir (yellow rice). Rice is the main dish, with vegetables and fish.","Banjarmasin, Martapura, Barabai","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid touching the head of others, sitting with your feet facing elders, and eating in front of elders without permission."
Indonesia,Kalimantan Timur,"In East Kalimantan, visitors should observe Dayak and Kutai traditions by respecting local attire, asking before taking photographs in villages, and participating in cultural events with respect and enthusiasm.","Bahasa Indonesia, Kutai, Dayak",6/6/2025,Eid al-Adha,"Kalimantan Timur cuisine includes many seafood dishes, such as grilled fish, and the use of traditional spices in preparing meats.","Samarinda, Balikpapan, Tenggarong","On Eid al-Adha, religious practices involve the slaughtering of sacrificial animals such as cows and goats. The meat is shared with the poor, reflecting the value of charity and community. People gather for prayers at the mosque, and it is a time for reflection and thanksgiving.","Avoid whistling at night, as it is believed to summon spirits. Public displays of affection are also frowned upon."
Indonesia,Kalimantan Utara,"Tourists to North Kalimantan should be mindful of the diverse indigenous customs, particularly among the Dayak and Tidung peoples, respecting local rituals, traditional spaces, and dressing appropriately in village settings.","Bahasa Indonesia, Dayak",4/21/2025,Eid al-Fitr,"The food is rich in fish, with dishes like ikan bakar (grilled fish) and various types of rice-based meals.","Tarakan, Tanjung Selor, Nunukan","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid stepping over others' food, raising your voice in public, and showing disrespect to elders."
Indonesia,Sulawesi Utara,"Tourists should honor the strong Christian influences, especially in Manado, where respecting church customs and attending traditional events like Maengket dances with appreciation enhances the visitor experience.","Bahasa Indonesia, Minahasa, Gorontalo",1/29/2025,Chinese New Year,"Traditional foods include tinutuan (vegetable porridge) and cakalang fufu (smoked fish), reflecting the coastal culture.","Manado, Bitung, Tomohon","During Chinese New Year, the Chinese community celebrates by praying at temples, making offerings to ancestors, and holding ceremonies to invite prosperity for the new year.","Avoid pointing with feet, sitting cross-legged in front of elders, and touching others' heads."
Indonesia,Gorontalo,"In Gorontalo, which values Islamic traditions deeply, tourists are encouraged to dress modestly, especially during visits to religious areas, and to show respect for local customs, such as avoiding public displays of affection.","Bahasa Gorontalo, Bahasa Indonesia",4/21/2025,Eid al-Fitr,"Gorontalo cuisine features fish-based dishes, such as ikan bakar, and dishes that include spices, rice, and vegetables.","Gorontalo City, Limboto, Pohuwato","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid making loud noises, especially during prayer times, or showing disrespect during religious ceremonies."
Indonesia,Sulawesi Tengah,"Visitors should be mindful of the Kaili and Lore traditions, showing respect during cultural events and refraining from taking photographs without permission, particularly in sacred sites or ceremonies.","Bahasa Indonesia, Kaili, Pamona, and other local languages",6/6/2025,Eid al-Adha,"The food culture revolves around fish, rice, and spicy dishes like ikan bakar (grilled fish) and tinutuan.","Palu, Donggala, Sigi","On Eid al-Adha, religious practices involve the slaughtering of sacrificial animals such as cows and goats. The meat is shared with the poor, reflecting the value of charity and community. People gather for prayers at the mosque, and it is a time for reflection and thanksgiving.","Avoid showing the soles of your feet to others, interrupting ceremonies, and eating in front of elders."
Indonesia,Sulawesi Barat,"When visiting, tourists should respect the Mandar culture, especially in local markets and villages. This includes using polite gestures and language and avoiding disruptive behaviors during cultural practices.","Bahasa Indonesia, Bugis, Mandar",6/6/2025,Eid al-Adha,"Fish-based dishes dominate, with specialties like ikan bakar (grilled fish) and various coconut milk-based dishes.","Mamuju, Majene, Polewali Mandar","On Eid al-Adha, religious practices involve the slaughtering of sacrificial animals such as cows and goats. The meat is shared with the poor, reflecting the value of charity and community. People gather for prayers at the mosque, and it is a time for reflection and thanksgiving.","Avoid interrupting prayers or ceremonies, sitting on pillows, or pointing with feet."
Indonesia,Sulawesi Selatan,"South Sulawesi is home to the Bugis and Makassar people, where respect for elders and participation in traditional customs like pa’gellu’ dances are highly valued. Tourists are encouraged to observe modest attire and politeness.","Bahasa Indonesia, Bugis, Makassar",4/21/2025,Eid al-Fitr,"Rice and seafood are staples, with popular dishes like Coto Makassar (beef soup) and Pallubasa (soup with beef and rice).","Makassar, Parepare, Sidrap","On Eid al-Fitr, people engage in the practice of offering special prayers at the mosque. It is a time for thanksgiving and giving charity, particularly zakat, to support those in need. Visiting family and friends is a central aspect of the celebration.","Avoid public displays of affection, stepping over food, and sitting cross-legged in front of elders."
Indonesia,Sulawesi Tenggara," In Southeast Sulawesi, where Butonese and Tolaki traditions are prominent, tourists should avoid interrupting local gatherings, show respect during dances, and dress appropriately, particularly in rural communities.","Bahasa Indonesia, Tolaki",6/6/2025,Eid al-Adha,"Local cuisine includes fish, maize, and rice, with specialties like ikan bakar (grilled fish) and various spicy dishes.","Kendari, Bau-Bau, Kolaka","On Eid al-Adha, religious practices involve the slaughtering of sacrificial animals such as cows and goats. The meat is shared with the poor, reflecting the value of charity and community. People gather for prayers at the mosque, and it is a time for reflection and thanksgiving.","Avoid interrupting ceremonies, sitting on the floor in front of elders, or using inappropriate language."
Indonesia,Maluku,"When visiting Maluku, tourists are encouraged to respect the Pela Gandong system, which emphasizes unity between villages. Participation in local music and dance, while respecting space and customs, is appreciated, especially in areas with a strong Christian presence.","Bahasa Indonesia, Ambonese Malay, Maluku languages",12/25/2025,Christmas,"Maluku cuisine is centered around fish and tropical fruits, with dishes like ikan kuah kunir (fish in turmeric soup) and papeda (sago porridge).","Ambon, Ternate, Tidore","During Christmas, Christians attend church services, exchange gifts, and gather with family and friends to celebrate the birth of Jesus Christ, often with festive decorations and meals.","Avoid touching the head of others, pointing with the feet, and interrupting traditional ceremonies."
Indonesia,Maluku Utara,"In North Maluku, with its rich Muslim and Christian heritage, tourists should dress modestly, especially near religious sites, and respect local customs, such as refraining from loud behavior in sacred areas.","Bahasa Indonesia, Ternate, andTidore.",12/25/2025,Christmas,"Fish and sago are staple foods, with dishes like ikan masak asam (sour fish dish) and papeda (sago porridge).","Ternate, Tidore, Sofifi","During Christmas, Christians attend church services, exchange gifts, and gather with family and friends to celebrate the birth of Jesus Christ, often with festive decorations and meals.","Avoid inappropriate behavior in mosques, touching the heads of others, and showing disrespect during ceremonies."
Indonesia,Papua Barat Daya,"Tourists visiting Southwest Papua are encouraged to respect the indigenous customs, including the local noken (woven bag), which is an important cultural symbol. It’s advised to avoid taking photos without permission, especially during ceremonies, and to be mindful of the traditional customs in rural areas.approached with humility.","Bahasa Indonesia, Biak, and Asmat.",12/25/2025,Christmas,"Papua Barat Daya's cuisine includes rich, hearty dishes like papeda (sago porridge) and ikan bakar (grilled fish).","Sorong, Raja Ampat, Fakfak","During Christmas, Christians attend church services, exchange gifts, and gather with family and friends to celebrate the birth of Jesus Christ, often with festive decorations and meals.","Avoid disrespecting sacred places, interrupting ceremonies, or handling sacred objects."
Indonesia,Papua Barat,"In West Papua, tourists are expected to dress modestly and respect the local Papuan traditions, such as the honai (traditional house) and the communal noken bag. Visitors should engage politely with local tribes, particularly during gatherings led by tribal elders, and refrain from disrupting traditional practices.","Indonesian,and Biak.",12/25/2025,Christmas,"Traditional dishes often include sago, fish, and root vegetables. Meals are usually communal.","Manokwari, Sorong, Fakfak","During Christmas, Christians attend church services, exchange gifts, and gather with family and friends to celebrate the birth of Jesus Christ, often with festive decorations and meals.","Public displays of affection, disrespecting indigenous rituals, alcohol consumption in sacred places."
Indonesia,Papua Tengah,"In Central Papua, local customs are closely tied to the spirituality and social structures of indigenous communities. Visitors should respect sacred rituals and avoid public displays of affection or disruptive behavior. Modesty in dress and respectful behavior, particularly when interacting with elders or tribal leaders, is highly appreciated.","Indonesian, and Dani.",12/25/2025,Christmas,"Sago, smoked fish, and cassava are commonly eaten. Food is often shared among families and communities.","Wamena, Jayapura, Nabire","During Christmas, Christians attend church services, exchange gifts, and gather with family and friends to celebrate the birth of Jesus Christ, often with festive decorations and meals.","Public displays of affection, disrespecting sacred rituals, and bringing alcohol to local ceremonies."
Indonesia,Papua Pegunungan,"The Highlands Papua region has strong cultural ties to its indigenous people, where the honai house and traditional ceremonies are central. Tourists should seek permission before participating in cultural events and be aware that many practices have deep spiritual significance. Photography, especially of rituals, should be done with consent.","Indonesian, and Yali.",12/25/2025,Christmas,"Traditional highland dishes include sweet potatoes, cassava, and meats. Meals are typically eaten with hands in a communal setting.","Wamena, Jayapura, Nduga","During Christmas, Christians attend church services, exchange gifts, and gather with family and friends to celebrate the birth of Jesus Christ, often with festive decorations and meals.","Disrespecting local customs, taking photos without consent, alcohol consumption in sacred spaces."
Indonesia,Papua Selatan,"In South Papua, tourists should approach local culture with respect, particularly by observing the etiquette around traditional customs, like the use of the noken and participation in community gatherings. Modesty in attire and avoiding unnecessary disruptions to ceremonies are key to ensuring a respectful experience.","Indonesian, and Muyu.",12/25/2025,Christmas,"Dishes include locally grown vegetables, root crops, and fish. Meals are often eaten with hands and shared with others.","Merauke, Boven Digoel","During Christmas, Christians attend church services, exchange gifts, and gather with family and friends to celebrate the birth of Jesus Christ, often with festive decorations and meals.","Disrespecting elders, public displays of affection, consumption of alcohol in public places."
Indonesia,Papua,"Throughout Papua province, the cultural significance of the honai (traditional house) and other indigenous practices must be respected. Visitors should be mindful of the local customs surrounding attire, photography, and participation in sacred rituals, always seeking permission before engaging in cultural activities.","Indonesian, Papuan languages",12/25/2025,Christmas,"Traditional food includes sago, sweet potatoes, vegetables, and fish. Meals are shared in a communal setting, and respect for food is essential.","Jayapura, Sorong, Biak","During Christmas, Christians attend church services, exchange gifts, and gather with family and friends to celebrate the birth of Jesus Christ, often with festive decorations and meals.","Public displays of affection, disrespecting sacred sites, alcohol consumption in public spaces."
Singapore,Central Region,"Generally open and cosmopolitan. In public, be polite and avoid loud conversations. Queueing is a must. Tip not expected but appreciated. Respect for elders is key.","English, Mandarin, Malay",2/15/2025,Chinese New Year,"Hainanese chicken rice, laksa, char kway teow, satay. Singapore’s food is diverse, blending Malay, Chinese, and Indian influences.","Singapore City, Orchard Road","Predominantly Buddhist, Taoist, Christian, with smaller Muslim and Hindu communities. Major festivals include Chinese New Year, Good Friday, and Deepavali.","Avoiding eye contact with elders, overly personal questions, touching heads of others, and public displays of affection."
Singapore,Eastern Region,Respect local traditions and maintain politeness. Avoid discussing politics or religion with strangers. Public displays of affection may be frowned upon in conservative areas.,"English, Mandarin, Malay",3/5/2025,Thaipusam,"Nasi lemak, kueh, roti prata, chilli crab. Local dishes reflect a fusion of Malay, Indian, and Chinese culinary styles.","Tampines, Bedok, Changi","Hinduism is prominent, with a significant Muslim population as well. Thaipusam is a key religious event, with devotees preparing and participating in the procession.",Don’t point your feet at people or religious icons. Avoid speaking during prayer or sacred ceremonies.
Singapore,Northern Region,"Known for its suburban atmosphere. While interacting, be considerate and avoid showing public frustration. Respect for nature is also essential.","English, Malay, Tamil",6/1/2025,"Hari Raya Puasa (Eid al-Fitr): Marks the end of Ramadan, a time for Muslims to break their fast, celebrate with family, and give charity.","Murtabak, ayam penyet, satay. The food culture leans heavily on Malay and Indonesian influences.","Yishun, Sembawang","Predominantly Muslim, with smaller Buddhist and Christian communities. Ramadan and Hari Raya Puasa are widely observed with festive meals and family gatherings.","Don't point at people, avoid interrupting someone speaking, and avoid giving gifts with left hand."
Singapore,North-East Region,"A bustling area with a mix of locals and tourists. Singaporean etiquette is usually respectful and informal, but politeness in public settings is important.","English, Mandarin, Malay",8/4/2025,"National Day: A celebration of Singapore's independence with fireworks, parades, and patriotic events.","Laksa, chili crab, popiah. A mix of local and regional flavors, influenced by Chinese, Malay, and Indian traditions.","Punggol, Sengkang","Christianity and Buddhism are the major religions, with many secular residents. National Day celebrates Singapore’s multicultural heritage.",Don't touch someone’s head or point feet at sacred objects. Public displays of affection are typically avoided.
